strategy_num,strategy_name,test_type,end_age,exit_tests,total_cancers,total_cancer_deaths,total_life_years,total_tests,total_cin2_detected,total_cin3_detected,case_fatality_rate,cancer_rate_per_100k,death_rate_per_100k
1,"CYTO-3Y, 21-65",Cyto,65,3,237,108,7435857,3975190,23154,4881,45.56962025316456,3.1872587114034063,1.4524216912724384
2,"CYTO-3Y, 21/HPV-5Y, 30-65",Cyto→HPV,65,2,262,120,7435252,1315410,17365,6386,45.80152671755725,3.523754137721223,1.6139331928494154
3,"CYTO-3Y, 21/COTEST-5Y, 30-65",Cyto→Cotest,65,2,250,106,7435481,2307176,18284,6099,42.4,3.3622572635179893,1.4255970797316273
4,"CYTO-3Y, 21-70",Cyto,70,3,194,87,7436059,4325418,23227,5159,44.84536082474227,2.6089088319498273,1.1699745792764689
5,"CYTO-3Y, 21/HPV-5Y, 30-70",Cyto→HPV,70,2,223,89,7435570,1386733,17594,6537,39.91031390134529,2.999097580952099,1.196949258765636
6,"CYTO-3Y, 21/COTEST-5Y, 30-70",Cyto→Cotest,70,2,209,82,7435711,2454203,18401,6395,39.23444976076555,2.810760127713409,1.102786270203347
7,"CYTO-3Y, 21-75",Cyto,75,3,154,62,7436280,4644717,23318,5330,40.25974025974026,2.070927937086823,0.8337502084375522
8,"CYTO-3Y, 21/HPV-5Y, 30-75",Cyto→HPV,75,2,208,80,7435614,1449309,17643,6737,38.46153846153847,2.7973480064995306,1.0759030794228963
9,"CYTO-3Y, 21/COTEST-5Y, 30-75",Cyto→Cotest,75,2,185,70,7435827,2581826,18315,6559,37.83783783783784,2.4879546014182417,0.941388227563659
10,"CYTO-3Y, 21/HPV-5Y, 30-65 (1 exit)",Cyto→HPV,65,1,260,114,7435224,1316691,17463,6309,43.84615384615385,3.4968684198350983,1.5332423071584664
11,"CYTO-3Y, 21/COTEST-5Y, 30-65 (1 exit)",Cyto→Cotest,65,1,241,115,7435390,2310744,18354,6077,47.71784232365145,3.2412556705162743,1.5466572701633672
12,"CYTO-3Y, 21/HPV-5Y, 30-70 (1 exit)",Cyto→HPV,70,1,224,100,7435393,1388548,17489,6597,44.642857142857146,3.0126181628866155,1.344918822717239
13,"CYTO-3Y, 21/COTEST-5Y, 30-70 (1 exit)",Cyto→Cotest,70,1,202,84,7435741,2456537,18278,6435,41.584158415841586,2.7166088759681113,1.1296789385213928
14,"CYTO-3Y, 21/HPV-5Y, 30-75 (1 exit)",Cyto→HPV,75,1,210,85,7435573,1449421,17589,6700,40.476190476190474,2.824261156470389,1.1431533252380146
15,"CYTO-3Y, 21/COTEST-5Y, 30-75 (1 exit)",Cyto→Cotest,75,1,179,66,7435913,2584585,18269,6527,36.87150837988827,2.4072363407156594,0.88758434909069
